,kline_open_time,open_price,high_price,low_price,close_price,volume,kline_close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused_field
0,1737504000000,641734.00000000,642407.00000000,615009.00000000,619140.00000000,102.04107000,1737590399999,63936543.37121000,44190,45.08826000,28252589.79668000,0
1,1737590400000,619140.00000000,635514.00000000,605550.00000000,616547.00000000,259.19232000,1737676799999,160577492.35190000,76808,128.32820000,79510206.24415000,0
2,1737676800000,616571.00000000,630415.00000000,609001.00000000,620953.00000000,101.07221000,1737763199999,62834619.54626000,35734,53.06803000,33003954.64139000,0
3,1737763200000,621018.00000000,625500.00000000,617166.00000000,620437.00000000,53.62948000,1737849599999,33343896.98816000,23597,28.33466000,17619349.96396000,0
4,1737849600000,620435.00000000,625209.00000000,610351.00000000,611247.00000000,78.03332000,1737935999999,48338800.46044000,27427,35.40887000,21942364.60557000,0
5,1737936000000,611355.00000000,615280.00000000,583221.00000000,603928.00000000,243.46694000,1738022399999,145341060.37126000,76712,111.40876000,66519827.91220000,0
6,1738022400000,603927.00000000,611904.00000000,589502.00000000,595358.00000000,127.69077000,1738108799999,77151307.63275000,42803,57.13622000,34535370.60217000,0
7,1738108800000,595356.00000000,613665.00000000,594711.00000000,603789.00000000,117.96597000,1738195199999,71138083.97683000,38272,59.64811000,35978886.48833000,0
8,1738195200000,603788.00000000,627063.00000000,600655.00000000,613019.00000000,132.49910000,1738281599999,81486231.36179000,36782,68.04717000,41855582.61430000,0
9,1738281600000,613019.00000000,619406.00000000,594890.00000000,599359.00000000,118.74712000,1738367999999,72144570.85135000,40324,52.75901000,32059197.85757000,0
10,1738368000000,599464.00000000,602704.00000000,590603.00000000,593197.00000000,58.12929000,1738454399999,34797609.21519000,25692,27.77321000,16623538.57924000,0
11,1738454400000,593196.00000000,597268.00000000,568182.00000000,577352.00000000,206.65919000,1738540799999,119698324.15859000,68848,94.97133000,54994464.67501000,0
12,1738540800000,577479.00000000,597285.00000000,541000.00000000,589735.00000000,402.71382000,1738627199999,229053285.48632000,115480,192.33058000,109363488.54905000,0
13,1738627200000,589845.00000000,592400.00000000,556696.00000000,566500.00000000,172.45291000,1738713599999,99069861.39094000,53024,82.74390000,47529466.60577000,0
14,1738713600000,566602.00000000,576984.00000000,559105.00000000,561712.00000000,99.78060000,1738799999999,56607375.62345000,35452,48.30273000,27404379.57351000,0
15,1738800000000,561805.00000000,577023.00000000,554001.00000000,558545.00000000,103.00978000,1738886399999,58155437.42970000,37016,48.47998000,27378692.85031000,0
16,1738886400000,558602.00000000,578274.00000000,557600.00000000,563743.00000000,137.03838000,1738972799999,77581013.54347000,43863,62.73727000,35513004.51284000,0
17,1738972800000,563649.00000000,567282.00000000,560800.00000000,565189.00000000,70.15897000,1739059199999,39557820.03449000,26062,32.11551000,18112082.63757000,0
18,1739059200000,565189.00000000,569902.00000000,555002.00000000,565073.00000000,58.81386000,1739145599999,33152066.56654000,21724,27.60719000,15570089.86361000,0
19,1739145600000,565075.00000000,571184.00000000,557935.00000000,565209.00000000,82.06145000,1739231999999,46435064.23383000,29423,35.80460000,20265256.41358000,0
20,1739232000000,565208.00000000,569200.00000000,548400.00000000,552784.00000000,105.56505000,1739318399999,59022152.02706000,34841,52.45128000,29325448.49275000,0
21,1739318400000,552784.00000000,565399.00000000,544573.00000000,564238.00000000,144.11483000,1739404799999,79976720.33732000,37748,69.92667000,38815702.52701000,0
22,1739404800000,564238.00000000,565596.00000000,550078.00000000,557020.00000000,77.23764000,1739491199999,43015446.76192000,26016,36.23324000,20175260.61386000,0
23,1739491200000,557304.00000000,565557.00000000,551518.00000000,557013.00000000,94.13390000,1739577599999,52516974.25500000,29472,44.15990000,24638503.61478000,0
24,1739577600000,557015.00000000,561695.00000000,555301.00000000,560797.00000000,54.34862000,1739663999999,30409940.80831000,17913,28.77475000,16103827.03574000,0
25,1739664000000,560857.00000000,561600.00000000,552442.00000000,552772.00000000,62.13000000,1739750399999,34679240.54133000,20808,26.54783000,14821209.71388000,0
26,1739750400000,552759.00000000,555728.00000000,546342.00000000,551806.00000000,109.05441000,1739836799999,60110817.38010000,32607,44.69507000,24647121.32880000,0
27,1739836800000,551806.00000000,555640.00000000,533747.00000000,546070.00000000,134.08228000,1739923199999,73132079.77276000,38154,59.04703000,32220675.57442000,0
28,1739923200000,546076.00000000,555000.00000000,542111.00000000,552936.00000000,60.21287000,1740009599999,33065294.24982000,23630,30.48783000,16748468.11432000,0
29,1740009600000,552937.00000000,563998.00000000,551943.00000000,561820.00000000,70.88465000,1740095999999,39549614.35160000,24530,36.00008000,20080712.80339000,0
30,1740096000000,561941.00000000,569582.00000000,544947.00000000,552976.00000000,119.34777000,1740182399999,66614597.34796000,36550,57.15432000,31906493.49413000,0
31,1740182400000,553000.00000000,558423.00000000,550928.00000000,555774.00000000,25.50915000,1740268799999,14171153.67844000,15603,12.79165000,7106344.18910000,0
32,1740268800000,555753.00000000,556387.00000000,548500.00000000,553477.00000000,29.68435000,1740355199999,16394859.64167000,14380,14.13797000,7811491.32472000,0
33,1740355200000,553524.00000000,555253.00000000,529782.00000000,531111.00000000,113.42005000,1740441599999,61712041.30129000,38656,48.01768000,26145680.74244000,0
34,1740441600000,531089.00000000,537766.00000000,498539.00000000,512423.00000000,287.87785000,1740527999999,148294279.06955000,77526,136.87167000,70576603.99539000,0
35,1740528000000,512647.00000000,516321.00000000,479150.00000000,491191.00000000,173.82794000,1740614399999,86846282.70929000,49294,81.33414000,40613167.42801000,0
36,1740614400000,491187.00000000,507615.00000000,483413.00000000,495715.00000000,155.42321000,1740700799999,77190478.87111000,41726,78.04223000,38766779.09339000,0
37,1740700800000,495777.00000000,503750.00000000,459643.00000000,499672.00000000,344.75966000,1740787199999,165812304.61149000,73472,172.96053000,83058737.19632000,0
38,1740787200000,499743.00000000,513552.00000000,497536.00000000,509701.00000000,88.80724000,1740873599999,44833366.17809000,23919,44.29277000,22362024.39099000,0
39,1740873600000,509705.00000000,562887.00000000,504437.00000000,558310.00000000,169.51356000,1740959999999,90889942.06271000,48235,93.32271000,50051120.59272000,0
40,1740960000000,558311.00000000,559244.00000000,504500.00000000,511839.00000000,163.23542000,1741046399999,86566147.86339000,83003,74.54303000,39586915.33174000,0
41,1741046400000,511840.00000000,523822.00000000,483350.00000000,514214.00000000,219.87497000,1741132799999,110315412.26162000,60275,124.91773000,62748220.04058000,0
42,1741132800000,514214.00000000,535530.00000000,509197.00000000,523803.00000000,156.06284000,1741219199999,81352631.19278000,50479,78.73191000,41087764.74437000,0
